"DEPARTAMENTO","MUNICIPIO","CODIGO DANE","ARMAS MEDIOS","FECHA HECHO","GENERO","GRUPO ETARIO","CANTIDAD"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","03/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","04/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","08/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","08/01/2025","MASCULINO","ADULTOS","2"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","08/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","09/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","01/01/2025","MASCULINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","10/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","12/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","13/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","10/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Santa Rosa de Cabal","66682000","SIN EMPLEO DE ARMAS","11/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","16/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Apía","66045000","SIN EMPLEO DE ARMAS","16/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Quinchía","66594000","SIN EMPLEO DE ARMAS","19/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","13/01/2025","FEMENINO","ADULTOS","3"
"RISARALDA","Santa Rosa de Cabal","66682000","SIN EMPLEO DE ARMAS","21/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","13/01/2025","FEMENINO","ADOLESCENTES","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","14/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","13/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","21/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","21/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Santa Rosa de Cabal","66682000","SIN EMPLEO DE ARMAS","24/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Santa Rosa de Cabal","66682000","SIN EMPLEO DE ARMAS","24/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","13/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","21/01/2025","FEMENINO","ADULTOS","2"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","05/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","05/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","18/01/2025","FEMENINO","ADULTOS","3"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","28/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","28/01/2025","FEMENINO","ADULTOS","3"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","22/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","28/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","22/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","La Virginia","66400000","SIN EMPLEO DE ARMAS","16/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","03/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","27/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","30/01/2025","MASCULINO","ADULTOS","1"
"RISARALDA","Dosquebradas","66170000","SIN EMPLEO DE ARMAS","30/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","29/01/2025","FEMENINO","ADULTOS","1"
"RISARALDA","Pereira (CT)","66001000","SIN EMPLEO DE ARMAS","02/02/2025","FEMENINO","ADULTOS","3"
